Geneid	SRR10440857	SRR10440859	SRR10440860	SRR10440861	SRR11357867	SRR11357868	SRR11357869	SRR11357870
ENSG00000012822.16	3937	1958	1374	1723	5277	6809	4733	5675
ENSG00000012963.15	747	1989	1128	1266	958	1249	687	818
ENSG00000012983.12	764	2217	2443	1392	2071	2523	1240	1627
ENSG00000013016.16	726	328	221	463	436	822	153	625
ENSG00000013275.8	3371	1720	2884	2503	1928	2115	1312	1795
ENSG00000013288.9	5613	2025	2330	2130	3531	2385	2213	2020
ENSG00000013293.6	0	0	2	0	3	8	21	2
ENSG00000013297.12	109	56	4	37	425	680	111	347
ENSG00000013306.16	7029	2457	3982	2499	2469	2388	1448	2196
ENSG00000013364.19	5113	6463	7751	10199	9075	7497	7118	8244
ENSG00000013374.17	1628	1320	1369	3548	2269	2790	1877	2555
ENSG00000013375.17	782	2133	912	1951	1349	1329	745	1066
ENSG00000013392.8	170	307	192	268	203	284	109	192
ENSG00000013441.17	1367	5186	3152	2699	3861	9402	2213	7933
ENSG00000013503.10	251	270	252	422	368	394	273	259
ENSG00000013523.12	858	1442	584	1012	1449	1732	554	1104
ENSG00000013561.18	446	1086	571	859	1338	1694	808	987
ENSG00000013563.14	711	598	582	754	721	823	326	517
ENSG00000013573.17	4194	1508	807	593	459	195	83	597
ENSG00000013583.10	1579	607	828	558	1942	2216	1361	1467
ENSG00000013588.10	4605	3518	5161	4321	19686	13890	21322	18182
ENSG00000013619.15	166	234	241	335	415	602	111	222
ENSG00000013725.14	200	887	110	607	447	779	263	1756
ENSG00000013810.21	3046	3514	1912	917	763	883	421	849
ENSG00000014123.10	752	2343	997	2301	1721	1743	1302	1149
ENSG00000014138.10	310	235	126	136	84	292	53	217
ENSG00000014164.7	1282	847	848	865	802	747	546	778
ENSG00000014216.16	7590	6378	5197	5034	5116	4894	3881	4310
ENSG00000014257.17	68	108	171	86	282	50	243	187
ENSG00000014641.21	2281	3219	2031	2846	2517	3286	1921	2727
ENSG00000014824.14	1304	2772	1475	2854	2501	2441	1844	1686
ENSG00000014914.21	1348	1074	523	708	391	585	195	496
ENSG00000014919.13	443	559	384	884	622	845	412	667
ENSG00000015133.20	1039	3272	965	1298	2192	2142	2339	2062
ENSG00000015153.15	350	558	261	388	618	700	366	550
ENSG00000015171.21	1079	2662	1678	3110	4390	4673	3165	3046
ENSG00000015285.12	658	997	439	983	1375	844	744	1234
ENSG00000015413.10	57	31	10	89	80	99	1	10
ENSG00000015475.19	1067	942	726	621	952	1066	555	838
ENSG00000015479.20	22	332	26	74	73	246	19	139
ENSG00000015520.15	0	168	107	4	5	27	9	22
ENSG00000015532.10	1414	766	1360	904	1021	1135	544	885
ENSG00000015568.13	21	158	36	150	49	59	26	54
ENSG00000015592.17	0	1	0	0	1	4	0	2
ENSG00000015676.18	1638	2358	4523	2606	3118	3643	2100	2395
ENSG00000016082.15	41	0	29	148	1	0	0	4
ENSG00000016391.11	453	1164	179	525	386	312	340	298
ENSG00000016402.14	296	264	68	33	534	175	1128	113
ENSG00000016490.16	0	27	0	0	0	0	0	0
ENSG00000016602.9	0	3	0	0	3	0	4	0
ENSG00000016864.19	1982	1102	1113	1325	1476	2028	1101	1407
ENSG00000017260.20	3985	4721	2982	3647	5301	3759	4421	3460
ENSG00000017427.17	115	194	27	43	286	145	134	68
ENSG00000017483.16	373	230	359	275	1195	1428	629	1036
ENSG00000017797.13	2193	2625	2072	1530	3175	2872	2222	2015
ENSG00000018189.13	656	1754	835	1167	1920	2538	1772	2212
ENSG00000018236.15	763	18	1375	28	664	474	277	201
ENSG00000018280.18	2995	1716	754	1402	5869	2381	2258	3805
ENSG00000018408.15	1365	1958	2005	851	7051	4562	3560	2756
ENSG00000018510.18	752	2356	1201	2227	2102	1838	1302	1269
ENSG00000018607.9	0	0	0	0	0	0	0	0
ENSG00000018610.15	434	325	557	536	609	958	530	628
ENSG00000018625.15	3	16	3	17	445	568	182	389
ENSG00000018699.13	399	389	475	810	456	613	374	455
ENSG00000018869.18	15	83	11	40	88	136	68	82
ENSG00000019102.12	29	529	126	404	1362	1511	1370	1448
ENSG00000019144.20	5727	4266	1549	1965	3233	6209	1249	4536
ENSG00000019169.11	17	1522	339	699	8837	5879	5885	5119
ENSG00000019186.10	4	73	17	9	1	2	11	2
ENSG00000019485.14	286	372	212	120	811	656	464	600
ENSG00000019505.8	0	328	1	3	1	5	55	9
ENSG00000019549.13	1622	237	632	271	428	836	111	351
ENSG00000019582.17	124456	94150	136952	173364	142549	122751	106271	150133
ENSG00000019991.18	90	412	43	364	1911	1304	499	911
ENSG00000019995.6	557	334	333	433	717	650	544	417
ENSG00000020129.16	1160	1633	1305	903	989	865	596	492
ENSG00000020181.18	1762	821	312	464	5353	3775	1232	2271
ENSG00000020219.9	0	2	1	0	0	0	0	1
ENSG00000020256.20	572	557	744	319	410	550	261	313
ENSG00000020426.11	387	623	951	348	374	444	320	399
ENSG00000020577.14	391	772	4537	1117	2108	1769	867	1415
ENSG00000020633.19	463	992	481	796	1034	680	592	1486
ENSG00000020922.13	606	656	748	1230	655	1026	440	947
ENSG00000021300.14	66	451	365	700	795	488	1386	632
ENSG00000021355.13	2517	4795	1477	4462	7727	4437	8776	9187
ENSG00000021461.18	0	0	0	4	1	3	4	10
ENSG00000021488.13	9	142	11	4	4	19	5	11
ENSG00000021574.15	334	690	437	1044	768	760	534	498
ENSG00000021645.20	21	313	107	140	328	284	138	178
ENSG00000021762.20	1031	677	1013	612	1701	2299	1040	1667
ENSG00000021776.11	1216	1577	1151	1415	1584	1518	1179	1172
ENSG00000021826.18	145	68	90	24	133	130	51	95
ENSG00000021852.14	1	3	4	0	160	455	423	49
ENSG00000022267.19	576	628	224	248	18280	22584	7977	14225
ENSG00000022277.13	1740	2851	1917	1595	2452	3439	1697	2333
ENSG00000022355.18	0	1	0	0	0	0	0	0
ENSG00000022556.16	26	47	26	79	98	146	32	148
ENSG00000022567.10	888	994	766	780	1240	750	834	758
ENSG00000022840.17	3688	2342	3953	2666	5295	4842	3971	3885
ENSG00000022976.16	361	476	307	239	280	384	176	307
ENSG00000023041.12	983	1674	1155	1696	1172	1947	762	1381
ENSG00000023171.20	165	567	97	172	306	217	126	236
ENSG00000023191.17	5279	4540	4182	5433	7582	9537	5876	7289
ENSG00000023228.15	1055	2705	1176	2414	2334	2433	1705	1731
ENSG00000023287.13	602	1816	1021	2305	2503	2095	2378	1666
ENSG00000023318.9	2002	1892	1906	2631	2788	2616	1821	2252
ENSG00000023330.15	965	1264	1132	1484	2248	1605	2439	1573
ENSG00000023445.17	1038	1843	1030	2960	6117	1692	3932	3662
ENSG00000023516.9	438	1969	1049	2096	3140	2590	2167	1850
ENSG00000023572.10	204	619	222	576	508	1019	313	744
